Time	CMY
0	0
0.1997424	0.0002644697
0.3997191	0.001056075
0.5995056	0.002288677
0.7999675	0.003976818
0.9993074	0.006108048
1.199691	0.008713491
1.399485	0.01178233
1.599457	0.01533504
1.799539	0.01937619
1.999746	0.02391319
2.199348	0.02893086
2.39979	0.03447337
2.599597	0.04050441
2.799521	0.04704127
2.999565	0.0540815
3.199568	0.06162082
3.399438	0.06966592
3.599994	0.07826276
3.799712	0.08736554
3.999361	0.09702713
4.199716	0.10732
4.399784	0.1182097
4.599573	0.1296774
4.799427	0.1417317
4.999279	0.154394
5.199475	0.167728
5.399473	0.1817259
5.599636	0.1963961
5.799706	0.211706
5.999568	0.2276467
6.199579	0.2442317
6.399773	0.2614433
6.599319	0.2791755
6.799389	0.2975111
6.99977	0.3163919
7.199703	0.3357392
7.399865	0.3556586
7.599768	0.3760761
7.799328	0.3972255
7.999918	0.4191351
8.199306	0.4415741
8.399719	0.4647475
8.599943	0.4884459
8.799791	0.5126178
8.999798	0.5373433
9.199676	0.5625362
9.399541	0.5883091
9.599336	0.6144323
9.799903	0.6410407
9.99966	0.6680324
10.19982	0.694609
10.39931	0.7202347
10.59977	0.7471712
10.7999	0.7741223
10.99948	0.8013981
11.19995	0.8276318
11.39991	0.853763
11.59938	0.8793276
11.79939	0.9046729
11.99971	0.9322972
12.19938	0.9613731
12.39938	0.9909432
12.59969	1.020623
12.7994	1.050624
12.99966	1.081003
13.19993	1.111691
13.39995	1.142731
13.59993	1.175517
13.79938	1.208139
13.99987	1.241061
14.19942	1.273625
14.39948	1.305357
14.59974	1.335745
14.79973	1.365782
14.99971	1.397563
15.19984	1.430366
15.39956	1.46348
15.59996	1.497352
15.7994	1.531106
15.99952	1.565283
16.19993	1.599794
16.39962	1.634369
16.59939	1.669447
16.79936	1.705342
16.99964	1.741945
17.19948	1.778187
17.39964	1.814916
17.59978	1.852176
17.79988	1.889474
17.99983	1.926446
18.19973	1.963714
18.39939	2.001403
18.59979	2.039028
18.79948	2.076444
18.99954	2.113284
19.19989	2.151261
19.39979	2.189627
19.59946	2.228192
19.79986	2.267026
19.99959	2.305943
20.19958	2.344727
20.39971	2.384496
20.59955	2.424105
20.79971	2.463672
20.99979	2.504178
21.19995	2.544918
21.39935	2.58595
21.59987	2.62814
21.79973	2.669901
21.99986	2.711934
22.19959	2.754866
22.39934	2.797744
22.59985	2.840538
22.79964	2.883604
22.99981	2.925862
23.19936	2.967567
23.39986	3.011471
23.59974	3.055642
23.79948	3.100925
23.99955	3.146527
24.19961	3.192585
24.39994	3.239776
24.5997	3.287174
24.79998	3.334546
24.99974	3.382637
25.19953	3.430864
25.39981	3.479983
25.59972	3.529971
25.79965	3.580424
25.99944	3.632062
26.19939	3.684303
26.39994	3.736363
26.5994	3.790093
26.79946	3.844522
26.9995	3.900191
27.19937	3.956679
27.39948	4.014274
27.59979	4.073152
27.79941	4.132124
27.99934	4.192722
28.1996	4.253877
28.39997	4.315673
28.59988	4.378845
28.79958	4.442653
28.99942	4.506368
29.19983	4.571237
29.39975	4.638161
29.59979	4.707348
29.79989	4.778373
29.99947	4.850778
30.1999	4.924444
30.39933	4.99887
30.59989	5.075749
30.79986	5.153846
30.9994	5.23434
31.19966	5.315252
31.39943	5.397469
31.59955	5.480828
31.79962	5.567323
31.99935	5.656005
32.19991	5.74728
32.39941	5.838156
32.59977	5.930543
32.79949	6.025229
32.99962	6.1213
33.19956	6.216364
33.39965	6.31406
33.59999	6.415026
33.79981	6.519168
33.9999	6.623436
34.19967	6.727527
34.39956	6.835388
34.59945	6.944957
34.8	7.0561
34.99998	7.169214
35.19988	7.284888
35.39997	7.401455
35.59978	7.520471
35.79942	7.6404
35.99977	7.762317
36.19936	7.881122
36.39937	7.997865
36.59964	8.116786
36.79995	8.237655
36.99989	8.35819
37.19982	8.48123
37.39983	8.605536
37.59983	8.728921
37.79939	8.856853
37.99999	8.988498
38.19942	9.123234
38.39965	9.260134
38.59949	9.395601
38.79995	9.532952
38.99936	9.670609
39.19934	9.810352
39.3996	9.951464
39.59958	10.09138
39.79983	10.23138
