Time	Vely1
0	0
0.199957	0.003017954
0.3996535	0.005313764
0.5996341	0.007628027
0.7997605	0.009983561
0.9994731	0.01241614
1.19955	0.01490806
1.399746	0.01745571
1.599533	0.02005671
1.79979	0.02273655
1.999425	0.02548067
2.199709	0.0283239
2.399806	0.0312272
2.599976	0.03419698
2.79995	0.03725457
2.999325	0.04045566
3.199658	0.04384567
3.399345	0.04738434
3.59964	0.05107657
3.799741	0.05495845
3.999962	0.05903363
4.199358	0.0632297
4.399681	0.06762049
4.599902	0.07208687
4.79939	0.07658794
4.999464	0.08114707
5.199776	0.08575358
5.399407	0.09040028
5.599862	0.09518311
5.799601	0.1000722
5.99998	0.105101
6.199623	0.1102669
6.399562	0.1156072
6.599567	0.121141
6.799454	0.1269127
6.999471	0.132966
7.199936	0.1393187
7.399495	0.1459404
7.599819	0.1528267
7.799716	0.1599412
7.999592	0.1674165
8.199521	0.1751559
8.399686	0.1831563
8.599775	0.1913313
8.79943	0.199478
8.999903	0.2077231
9.199954	0.2160156
9.399987	0.2242641
9.599694	0.2323696
9.799842	0.2407158
9.999659	0.2492144
10.19977	0.2577527
10.39996	0.26621
10.59975	0.2744022
10.79944	0.282497
10.99962	0.2907332
11.19996	0.2994526
11.39977	0.3083388
11.5997	0.3173175
11.79967	0.326635
11.99976	0.3361655
12.19964	0.3457157
12.39969	0.3556961
12.59946	0.3658534
12.79975	0.3763859
12.99965	0.3871996
13.19998	0.3979971
13.39945	0.4087198
13.59962	0.4197224
13.79981	0.4311481
13.99951	0.4427408
14.19983	0.4543039
14.39988	0.4656457
14.59954	0.4768945
14.79954	0.4883485
14.99981	0.4999626
15.19935	0.5115893
15.39937	0.5233752
15.59975	0.5354728
15.7994	0.5475112
15.99961	0.5600381
16.19937	0.5732293
16.39974	0.5867005
16.59961	0.5999337
16.79993	0.6131728
16.99995	0.6261385
17.19999	0.6395483
17.39978	0.6534279
17.59997	0.6674335
17.79954	0.6816309
17.99999	0.6966444
18.19983	0.711838
18.39939	0.7269971
18.59993	0.7430019
18.79945	0.7593263
18.99958	0.7760366
19.19948	0.7934498
19.39941	0.8112847
19.59984	0.8288728
19.79942	0.8460557
19.9996	0.8634566
20.19976	0.8809354
20.39987	0.8983638
20.59981	0.9157451
20.79951	0.9330985
20.99992	0.9505989
21.19995	0.9676063
21.3994	0.9846243
21.59969	1.001839
21.7996	1.019266
21.99979	1.036822
22.19982	1.054333
22.39976	1.071845
22.59963	1.089297
22.7997	1.107211
22.9997	1.12513
23.19981	1.142937
23.39971	1.160463
23.59966	1.17833
23.79996	1.195821
23.99955	1.213246
24.1997	1.230798
24.3997	1.248292
24.59969	1.265453
24.79972	1.281902
24.99974	1.298342
25.19976	1.314731
25.39957	1.330559
25.59959	1.345561
25.79989	1.360802
25.9999	1.375958
26.19947	1.391057
26.39979	1.406532
26.59991	1.421557
26.79946	1.43691
26.99968	1.453033
27.19962	1.469371
27.39999	1.486209
27.59987	1.502954
27.79971	1.519986
27.99936	1.537811
28.19969	1.555289
28.39953	1.572213
28.59948	1.589908
28.79935	1.60801
28.99984	1.625451
29.1998	1.642447
29.39982	1.659668
29.59975	1.67813
29.79971	1.698127
29.99962	1.718985
30.19957	1.739821
30.39974	1.759703
30.59961	1.779702
30.79955	1.799943
30.99951	1.819085
31.19969	1.837194
31.4	1.854042
31.59936	1.86981
31.7998	1.886094
